ticker,quarter,year,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda
VNM,2,2022,14930,-0.05,0.076,-8854,6077,-3693.0,2384.0,-0.273,-0.09,-37,2576,2102,2083,-0.265,-0.081,,,,,,2903.0
VNM,1,2022,13878,0.052,-0.123,-8253,5625,-3005.0,2620.0,-0.065,0.075,-26,2764,2283,2266,-0.121,0.032,,,,,,3157.0
VNM,4,2021,15819,0.097,-0.023,-9094,6725,-4288.0,2438.0,0.136,-0.248,-23,2688,2213,2196,0.005,-0.249,,,,,,2972.0
VNM,3,2021,16194,0.041,0.03,-9250,6944,-3702.0,3242.0,-0.08,-0.011,-24,3587,2961,2926,-0.049,0.032,,,,,,3781.0
VNM,2,2021,15716,0.014,0.191,-8861,6854,-3575.0,3279.0,-0.03,0.17,-28,3494,2862,2835,-0.077,0.1,,,,,,3827.0
VNM,1,2021,13190,-0.068,-0.086,-7435,5755,-2953.0,2802.0,-0.128,0.305,-13,3154,2597,2576,-0.068,0.179,,,,,,3301.0
VNM,4,2020,14425,0.013,-0.073,-7767,6658,-4512.0,2147.0,-0.14,-0.391,-26,2672,2236,2185,-0.007,-0.29,,,,,,2692.0
VNM,3,2020,15563,0.089,0.004,-8296,7267,-3743.0,3523.0,0.132,0.042,-38,3777,3138,3077,0.144,0.002,,,,,,4075.0
VNM,2,2020,15495,0.061,0.095,-8357,7138,-3757.0,3381.0,0.004,0.052,-38,3711,3085,3072,0.06,0.111,,,,,,3937.0
VNM,1,2020,14153,0.073,-0.006,-7547,6606,-3393.0,3212.0,0.002,0.286,-42,3358,2777,2765,-0.009,0.256,,,,,,3768.0
VNM,4,2019,14239,0.095,-0.004,-7559,6680,-4183.0,2497.0,0.011,-0.198,-36,2649,2176,2202,-0.043,-0.182,,,,,,3000.0
VNM,3,2019,14291,0.04,-0.021,-7568,6723,-3610.0,3113.0,0.113,-0.075,-28,3254,2677,2690,0.051,-0.072,,,,,,3607.0
VNM,2,2019,14599,0.065,0.107,-7585,7014,-3648.0,3366.0,0.116,0.05,-25,3550,2904,2899,0.087,0.039,,,,,,3844.0
VNM,1,2019,13189,0.088,0.014,-7034,6155,-2949.0,3206.0,0.095,0.297,-20,3343,2797,2791,0.033,0.214,,,,,,3679.0
VNM,4,2018,13004,0.053,-0.053,-6841,6163,-3691.0,2471.0,0.318,-0.116,-14,2680,2284,2299,0.318,-0.102,,,,,,2907.0
VNM,3,2018,13735,0.033,0.002,-7242,6494,-3698.0,2796.0,-0.076,-0.073,-12,3034,2560,2560,-0.05,-0.04,,,,,,3206.0
VNM,2,2018,13702,0.027,0.131,-7234,6469,-3452.0,3017.0,-0.071,0.03,-17,3161,2678,2666,-0.088,-0.013,,,,,,3412.0
